"content_id","game_id","content","type","rumored","homophobia","transphobia","queer_men","queer_women","char_sexuality","char_gender","char_role","human","char_race","actions","optional_relationships","bisexual_workers"
"1316","7658","mio ","characters","unknown","unknown","unknown","no","yes","lesbian implicit","nan","npc","nan","nan","nan","yes","nan"
"1317","7580","mitsuru kirjo","characters","yes","unknown","unknown","no","yes","nan","nan","npc","nan","nan","nan","nan","nan"
"1318","7659","mod","characters","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","yes","nan"
"1319","7659","mod","characters","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1320","7660","mods, queer reproduction","mods","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1321","7661","morpheus duvall","characters","unknown","unknown","yes","no","no","nan","gender non-conforming","enemies","yes","race indeterminate","nan","nan","nan"
"1322","7661","morpheus duvall","characters","unknown","unknown","yes","no","no","nan","gender non-conforming","npc","nan","nan","nan","nan","nan"
"1323","7606","morrigan","characters","yes","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1324","7600","mukki","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","enemies","yes","race indeterminate","nan","nan","nan"
"1325","7618","nabooru","characters","yes","unknown","unknown","no","no","nan","nan","enemies","no","nan","nan","nan","nan"
"1326","7598","naoto shirogane","characters","unknown","unknown","unknown","no","no","nan","gender non-conforming","pc","nan","nan","nan","nan","nan"
"1327","7662","ocelot","characters","unknown","unknown","unknown","yes","no","gay implicit","nan","enemies","yes","white","nan","nan","nan"
"1328","7663","optional relationship","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","yes","nan"
"1329","7662","otacon","characters","unknown","unknown","unknown","yes","no","gay implicit","nan","npc","yes","white","nan","nan","nan"
"1330","7586","pater","characters","unknown","unknown","unknown","yes","no","bisexual explicit","nan","npc","nan","nan","nan","nan","nan"
"1331","7578","poison","characters","unknown","unknown","unknown","no","no","nan","transgender woman implicit","pc","nan","nan","nan","nan","nan"
"1332","7664","poison and roxy","characters","unknown","unknown","unknown","no","no","nan","transgender woman implicit","pc","yes","white","nan","nan","nan"
"1333","7665","possible same-sex relationships","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","yes","nan"
"1334","7666","quina quen","characters","unknown","unknown","unknown","no","no","nan","non-binary explicit","pc","nan","nan","nan","nan","nan"
"1335","7667","raiden","characters","yes","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1336","7667","raiden","characters","yes","unknown","unknown","yes","no","nan","nan","pc","nan","nan","nan","nan","nan"
"1337","7668","raikov","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","yes","race indeterminate","nan","nan","nan"
"1338","7668","raikov","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","nan","nan","nan","nan","nan"
"1339","7644","ranulf","characters","unknown","unknown","unknown","yes","no","gay implicit","nan","pc","yes","indeterminate","nan","nan","nan"
"1340","7669","raphael","characters","yes","unknown","unknown","yes","no","nan","nan","pc","nan","nan","nan","nan","nan"
"1341","7669","raphael","characters","yes","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1342","7670","rasputin","actions","unknown","unknown","unknown","yes","no","gay implicit","nan","pc","yes","white","nan","nan","nan"
"1343","7615","raven","characters","unknown","unknown","unknown","yes","no","gay implicit","nan","pc","yes","white","nan","yes","nan"
"1344","7658","relationship options","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1345","7671","rocky armitage","characters","yes","unknown","unknown","yes","no","nan","nan","npc","yes","race indeterminate","nan","nan","nan"
"1346","7665","roley","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","yes","nan","nan","nan","nan"
"1347","7619","romance options","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
